Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,AUS,14723.54,14957.06,15210.17,15416.26,15605.43,15816.84,16048.62,16297.28,16568.13,16846.02,17092.83,17309.08,17497.64,17655.47,17827.46,18029.92,18246.45,18442.8,18630.46,18836.06,19057.7,19299.18,19521.48,19744.06,19960.66,20206.74,20495.63,20877.28,21303.92,21730.74,22065.64,22387.13,22780.32,23168.27,23514.82,23859.57,24237.27,24633.75,25006.34,25374.55,25640.14,25720.37,26097.86,26721.32,27241.94
Austria,AUT,7550.406,7572.556,7571.651,7561.341,7561.883,7565.422,7570.559,7575.019,7587.566,7625.879,7686.108,7765.893,7851.162,7911.411,7937.96,7949.475,7960.504,7968.81,7978.207,7994.79,8013.911,8047.63,8086.536,8126.711,8179.314,8234.445,8272.227,8298.612,8324.873,8345.402,8366.344,8395.763,8435.458,8486.813,8555.998,8657.143,8745.717,8803.741,8845.084,8885.206,8920.814,8961.58,9057.581,9138.508,9168.518
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,7405.78,7504.115,7608.893,7719.282,7830.982,7936.221,8025.804,8100.471,8174.785,8251.771,8326.133,8400.53,8489.874,8597.248,8711.38,8828.311,8942.638,9046.336,9146.851,9256.15,9376.181,9504.409,9631.138,9752.85,9868.428,9968.51,10039.78,10110.47,10181.73,10234.37,10295.3,10318.21,10336.58
Burundi,BDI,4383.706,4566.014,4681.39,4808.528,4926.465,5034.042,5129.414,5247.787,5365.327,5471.706,5587.052,5703.857,5858.407,5676.843,5713.854,6066.316,6070.506,6070.042,6187.108,6337.155,6470.194,6634.365,6824.132,7043.154,7310.656,7587.299,7865.547,8161.874,8505.637,8947.646,9376.444,9717.978,10071.03,10439.34,10799.79,11047.58,11239.45,11506.76,11859.45,12255.34,12617.04,12965.48,13321.1,13689.45,14047.79
Belgium,BEL,9860.275,9857.884,9856.731,9854.896,9855.959,9858.455,9862.556,9871.604,9908.151,9940.218,9972.277,10008.87,10050.95,10088.51,10119.34,10138.37,10160.04,10184,10205.69,10229.58,10254.29,10292.36,10338.54,10381.21,10427.31,10486.81,10557.1,10635.99,10720.75,10807.35,10940.37,11047.67,11114.69,11164.77,11216.11,11283.43,11336.5,11381.02,11434.17,11497.35,11542.64,11594.05,11695.86,11789.23,11835.86
Benin,BEN,3925.251,4038.307,4156.596,4278.978,4405.895,4538.012,4675.42,4818.486,4967.341,5121.657,5281.479,5446.932,5617.844,5872.706,6096.506,6226.773,6391.858,6583.365,6789.489,7002.818,7221.619,7445.596,7675.426,7913.07,8159.094,8426.144,8693.242,8953.969,9228.466,9509.423,9797.484,10093.62,10397.66,10708.83,11030,11360.68,11697.84,12039.78,12383.35,12726.75,13070.17,13413.42,13759.5,14111.03,14462.72
Burkina Faso,BFA,6947.9,7140.271,7340.197,7551.129,7772.256,7999.935,8228.847,8457.109,8687.435,8921.175,9159.356,9394.632,9629.275,9871.713,10123.8,10386.72,10655.94,10934.22,11240.66,11574.93,11925.55,12295,12680.9,13082.53,13500.53,13932.12,14373.71,14816.31,15258.09,15710.07,16176.5,16661.91,17172.29,17695.41,18229.46,18777.49,19334.86,19894.41,20438.29,20961.95,21478.69,21995.24,22509.04,23025.78,23548.78
Bangladesh,BGD,88016.44,90303.1,92814.51,95335.16,97814.97,100253.8,102635.6,104959.3,107216,109433.8,111633.7,113787.1,115952.2,118132.4,120343.2,122600.4,124862.2,127198.1,129622.3,132108.1,134544.3,136805.8,138933.7,140970.3,142902.9,144715.8,146406,147989.3,149474.3,150873.7,152202,153591.1,155070.1,156532.1,157964.9,159383.2,160811.9,162186.1,163523.1,164913.1,166298,167658.9,169384.9,171467,173562.4
Bulgaria,BGR,8865.313,8894.732,8920.426,8942.34,8963.312,8957.88,8960.243,8972.583,8982.743,8849.556,8706.033,8623.142,8526.339,8469.176,8439.547,8400.729,8357.354,8304.851,8250.182,8205.687,8164.996,7974.06,7829.247,7767.782,7709.788,7651.571,7593.935,7538.503,7486.2,7438.773,7389.057,7343.052,7249.307,7149.366,7062.601,6972.858,6882.983,6791.956,6699.142,6604.863,6546.051,6501.096,6460.75,6446.317,6431.75
Bahrain,BHR,339.6053,350.8385,362.0717,373.305,384.5382,395.7715,410.2122,424.6529,439.0937,453.6295,468.1652,481.002,493.8388,506.6756,519.5124,532.3492,551.9819,599.4025,666.0934,733.6783,630.5129,670.5334,710.554,764.519,823.744,888.824,960.425,1039.297,1103.496,1178.415,1228.543,1195.02,1208.964,1253.191,1314.562,1370.322,1424.726,1501.116,1503.091,1483.756,1472.204,1504.365,1557.182,1583.934,1621.657
